6431,1430096431,0 
6432,1430096432,0.062791 
6433,1430096433,0.125333 
6434,1430096434,0.187381 
6435,1430096435,0.24869 
6436,1430096436,0.309017 
6437,1430096437,0.368124 
6438,1430096438,0.425779 
6439,1430096439,0.481754 
6440,1430096440,0.535827 
6441,1430096441,0.587785 
6442,1430096442,0.637424 
6443,1430096443,0.684547 
6444,1430096444,0.728969 
6445,1430096445,0.770513 
6446,1430096446,0.809017 
6447,1430096447,0.844328 
6448,1430096448,0.876307 
6449,1430096449,0.904827 
6450,1430096450,0.929776 
6451,1430096451,0.951056 
6453,1430096453,0.968583 
6454,1430096454,0.982287 
6455,1430096455,0.992115 
6456,1430096456,0.998027 
6457,1430096457,1 
6458,1430096458,0.998027 
6459,1430096459,0.992115 
6460,1430096460,0.982287 
6461,1430096461,0.968583 
6462,1430096462,0.951057 
6463,1430096463,0.929777 
6464,1430096464,0.904827 
6465,1430096465,0.876307 
6466,1430096466,0.844328 
6467,1430096467,0.809017 
6468,1430096468,0.770514 
6469,1430096469,0.728969 
6470,1430096470,0.684547 
6471,1430096471,0.637424 
6472,1430096472,0.587786 
6473,1430096473,0.535827 
6474,1430096474,0.481754 
6475,1430096475,0.42578 
6476,1430096476,0.368125 
6477,1430096477,0.309018 
6478,1430096478,0.24869 
6479,1430096479,0.187382 
6481,1430096481,0.125334 
6482,1430096482,0.062791 
6483,1430096483,0.000001 
6484,1430096484,-0.06279 
6485,1430096485,-0.125333 
6486,1430096486,-0.187381 
6487,1430096487,-0.248689 
6488,1430096488,-0.309016 
6489,1430096489,-0.368124 
6490,1430096490,-0.425779 
6491,1430096491,-0.481753 
6492,1430096492,-0.535826 
6493,1430096493,-0.587785 
6494,1430096494,-0.637423 
6495,1430096495,-0.684547 
6496,1430096496,-0.728968 
6497,1430096497,-0.770513 
6498,1430096498,-0.809016 
6499,1430096499,-0.844327 
6500,1430096500,-0.876306 
6501,1430096501,-0.904827 
6502,1430096502,-0.929776 
6503,1430096503,-0.951056 
6504,1430096504,-0.968583 
6505,1430096505,-0.982287 
6506,1430096506,-0.992115 
6508,1430096508,-0.998027 
6509,1430096509,-1 
6510,1430096510,-0.998027 
6511,1430096511,-0.992115 
6512,1430096512,-0.982287 
6513,1430096513,-0.968583 
6514,1430096514,-0.951057 
6515,1430096515,-0.929777 
6516,1430096516,-0.904828 
6517,1430096517,-0.876307 
6518,1430096518,-0.844329 
6519,1430096519,-0.809018 
6520,1430096520,-0.770514 
6521,1430096521,-0.728969 
6522,1430096522,-0.684548 
6523,1430096523,-0.637425 
6524,1430096524,-0.587786 
6525,1430096525,-0.535828 
6526,1430096526,-0.481755 
6527,1430096527,-0.42578 
6528,1430096528,-0.368126 
6529,1430096529,-0.309018 
6531,1430096531,-0.248691 
6532,1430096532,-0.187383 
6533,1430096533,-0.125335 
6534,1430096534,-0.062792 
